Destination Name,Category,Region,Price,Rating,Reviews,Latitude,Longitude,Description,Tags,Location,Best Time to Visit,Image URL
"The Queen City of the South - Iloilo City, Philippines",Tourist,Region VI - Western Visayas,9000,2.5,4,10.8666815,122.015285,"Iloilo City is a vibrant urban hub known for its rich history, lively festivals, and delicious cuisine.","fort, history, heritage, architecture, culture",Negros Occidental,Early June,
Tinagong Dagat,Lakes,Region VI - Western Visayas,8000,4.8,17,10.8349122,122.441727,"Tinagong Dagat is a tranquil lake surrounded by lush greenery, ideal for boating and fishing.","island, beach, nature, swimming, snorkeling","Sipalay City, Negros Occidental",Early March,
Archdiocesan Museum of Cebu,Museums,Region VII - Central Visayas,8000,4.4,"1,535",10.4041939,123.0211402,The museum preserves religious artifacts and Cebu's ecclesiastical history.,"museum, history, heritage, culture, exhibits","Cebu City, Cebu",Mid-April,
Bagacay Point Lighthouse,Tourist,Region VII - Central Visayas,8000,4.4,253,10.3870394,123.1114009,"Bagacay Point Lighthouse stands tall on the coast, guiding ships and offering panoramic sea views.","lighthouse, history, landmark, architecture, scenic","BarangayBagacay,Liloan,Cebu",Early March,
Bantayan Island,Islands,Region VII - Central Visayas,8000,4.4,253,10.0766749,123.4750895,"Bantayan Island is a tranquil island with whiteâ€‘sand beaches, clear waters and a laidâ€‘back atmosphere perfect for relaxation.","island, beach, nature, swimming, snorkeling","Bantayan,Cebu",Mid-July,
Batungay Caverns,Caves,Region VII - Central Visayas,8000,4.4,"11,333",10.0766749,123.4750895,Batungay Caverns offer a network of caves for exploration and adventure.,"cave, nature, adventure, geology, exploration","BarangayBatungay,Argao,Cebu",First week of May,
Bilar Man-Made Forest,Tourist,Region VII - Central Visayas,8000,4.4,"1,980",10.3870394,123.1114009,"Bilar Man-Made Forest is a scenic stretch of mahogany trees, creating a cool and enchanting drive.","forest, nature, conservation, hiking, scenic","BarangayBilar,Bilar,Bohol",Late October,
Binalayan Hidden Falls,Waterfalls,Region VII - Central Visayas,8000,4.4,234,9.5686298,122.728917,"Binalayan Hidden Falls is a secluded spot, known for its gentle streams and tranquil ambiance.","waterfall, nature, hiking, swimming, scenic","BarangayBinalayan,Argao,Cebu",First week of July,
Borromeo Beach Resort,Beaches,Region VII - Central Visayas,8000,5,1,10.2032505,123.2153314,Borromeo Beach Resort is a lively spot with pristine sands and family-friendly amenities.,"beach, resort, nature, swimming, scenic","BarangayMarigondon,Cordova,Cebu",First week of September,
Bukilat Cave,Caves,Region VII - Central Visayas,8000,4.4,"1,823",10.0766749,123.4750895,Bukilat Cave is known for its natural skylights and tranquil pools.,"island, beach, nature, swimming, snorkeling","BarangayBukilat,Argao,Cebu",Mid-April,
Buswang Lake,Lakes,Region VII - Central Visayas,8000,4.8,8,10.2467206,123.1185119,"Buswang Lake is a clear highland lake celebrated for fishing, scenic views and a peaceful atmosphere.","lake, nature, boating, fishing, scenic","BarangayBuswang,Kalibo,Aklan",Early December,
Cabilao Island Lake,Lakes,Region VII - Central Visayas,8000,4.4,253,10.3833317,123.9422926,"Cabilao Island Lake is a small coastal lagoon on Cabilao Island, valued for snorkeling and close encounters with marine life.","lake, nature, boating, fishing, scenic","CabilaoIsland,BarangayLoon,Loon,Bohol",Late August,
Cambais Falls,Waterfalls,Region VII - Central Visayas,8000,4.5,"5,268",9.5686298,122.728917,"Cambais Falls features twin cascades and natural pools, perfect for swimming and relaxation.","waterfall, nature, hiking, swimming, scenic","BarangayCambais,Dagohoy,Bohol",Early September,
Cancalanog Falls,Waterfalls,Region VII - Central Visayas,8000,4.7,324,9.5686298,122.728917,Cancalanog Falls is a hidden gem with emerald waters and a peaceful setting.,"waterfall, nature, hiking, swimming, scenic","BarangayCancalanog,Dagohoy,Bohol",Mid-May,
Cantabon Cave,Caves,Region VII - Central Visayas,8000,4.3,146,9.6642323,123.4687328,"Cantabon Cave is a popular spot for adventure seekers, with winding passages and underground streams.","caverns, nature, adventure, geology, exploration","BarangayCantabon,Rizal,Cebu",Early September,
Casa Gorordo Museum,Historical,Region VII - Central Visayas,8000,4.4,"1,823",10.4546604,123.1717914,Casa Gorordo Museum showcases Cebuano heritage in a beautifully restored Spanish-era home.,"museum, history, heritage, culture, exhibits","CebuCity,Cebu",Mid-January,
Chocolate Hills Complex,Tourist,Region VII - Central Visayas,8000,4.4,"9,517",10.3870394,123.1114009,"The Chocolate Hills Complex showcases Bohol's iconic hills, with viewing decks for stunning landscapes.","hills, nature, viewpoint, hiking, scenic","BarangaySagbayan,Carmen,Bohol",Mid-April,
Chocolate Hills Viewing Deck,Landmarks,Region VII - Central Visayas,8000,4.6,14,9.9467691,123.5344765,This deck provides the best vantage point for admiring Bohol's famous Chocolate Hills.,"viewing deck, hills, nature, landmark, scenic","BarangaySagbayan,Carmen,Bohol",First week of July,
D' Family Park,Parks,Region VII - Central Visayas,8000,4.3,146,10.4041939,123.0211402,D' Family Park is a spacious recreational area with playgrounds and picnic spots.,"family park, nature, gardens, recreation, events","BarangayCantao-an,NagaCity,Cebu",Early July,
Danao Adventure Park,Parks,Region VII - Central Visayas,8000,4.6,14,10.4041939,123.0211402,Danao Adventure Park offers thrilling outdoor activities like ziplining and rappelling.,"adventure park, nature, hiking, recreation, events","BarangayPaghongawan,DanaoCity,Cebu",Mid-November,
Dao Falls,Waterfalls,Region VII - Central Visayas,8000,4.4,112,9.5686298,122.728917,"Dao Falls is a scenic waterfall, accessible via a picturesque jungle trek.","waterfall, nature, hiking, swimming, scenic","BarangayDao,Samboan,Cebu",Late April,
D'Clam Cave,Caves,Region VII - Central Visayas,8000,4.7,188,9.8035007,122.7645903,D'Clam Cave is a spelunking destination with fascinating rock formations.,"cave, nature, adventure, geology, exploration","BarangaySanIsidro,Compostela,Cebu",Early November,
Fort San Pedro,Tourist,Region VII - Central Visayas,8000,4.2,"7,352",10.3870394,123.1114009,"Fort San Pedro is a historic Spanish fortress, offering a glimpse into Cebu's colonial past.","fort, history, heritage, architecture, culture","CebuCity,Cebu",Early June,
Heritage of Cebu Monument,Historical,Region VII - Central Visayas,8000,4.6,"1,160",10.4546604,123.1717914,This monument artistically depicts Cebu's rich history and cultural milestones.,"monument, history, heritage, culture, landmark","CebuCity,Cebu",Late August,
Igutan Falls,Tourist,Region VII - Central Visayas,8000,4.1,55,10.3870394,123.1114009,"Igutan Falls is a tranquil waterfall surrounded by greenery, perfect for a peaceful nature escape.","waterfall, nature, hiking, swimming, scenic","BarangayIgutan,Samboan,Cebu",Mid-July,
Inambakan Falls,Waterfalls,Region VII - Central Visayas,8000,4.7,602,9.5686298,122.728917,Inambakan Falls is a majestic waterfall with multiple tiers and clear blue pools.,"waterfall, nature, hiking, swimming, scenic","BarangayInambakan,Samboan,Cebu",Mid-June,
Kandungaw Peak,Natural,Region VII - Central Visayas,8000,4.4,250,10.1381774,123.0002733,"Kandungaw Peak offers panoramic views and cool mountain air, ideal for hikers.","peak, nature, hiking, viewpoint, adventure","BarangayTaptap,CebuCity,Cebu",Late February,
Kanlaob Falls,Natural,Region VII - Central Visayas,8000,4.1,58,10.1381774,123.0002733,"Kanlaob Falls is a scenic waterfall, perfect for swimming and nature photography.","waterfall, nature, hiking, swimming, scenic","BarangayKanlaob,Samboan,Cebu",Mid-May,
Kawasan Falls,Tourist,Region VII - Central Visayas,8000,4.5,"5,268",10.3870394,123.1114009,"Kawasan Falls is a multi-tiered turquoise cascade, famous for its refreshing pools and lush jungle setting.","waterfall, nature, hiking, swimming, scenic","BarangayMatutinao,Badian,Cebu",Late February,
Lake Balanan,Lakes,Region VII - Central Visayas,8000,4.6,491,10.334322,123.9003004,"Lake Balanan is a serene freshwater lake surrounded by rolling hills, offering boating, picnicking and peaceful scenery.","lake, nature, boating, fishing, scenic","BarangayBalanan,Sibulan,NegrosOriental",Late October,
Lake Balinsasayao,Lakes,Region VII - Central Visayas,8000,4.4,"1,823",10.334322,123.9003004,"Lake Balinsasayao is a twinâ€‘lake crater set in forested highlands, popular for boating, birdwatching and nature retreats.","lake, nature, boating, fishing, scenic","BarangayBalinsasayao,Sibulan,NegrosOriental",Mid-July,
Ledesma Island,Beaches,Region VII - Central Visayas,8000,4.4,262,9.5686298,122.728917,"Ledesma Island is a quiet beach destination, ideal for snorkeling and sunbathing.","island, beach, nature, swimming, snorkeling","BarangayMarigondon,Cordova,Cebu",Early August,
Loboc Ecotourism Adventure Park,Parks,Region VII - Central Visayas,8000,4.4,526,10.4041939,123.0211402,"This park is known for its river cruises, adventure activities, and lush scenery.","ecotourism park, nature, adventure, wildlife, recreation","BarangayIlihan,Loboc,Bohol",Early October,
Mabini Beach,Beaches,Region VII - Central Visayas,8000,4.1,17,10.2032505,123.2153314,"Mabini Beach offers soft sands and gentle waves, perfect for a laid-back day by the sea.","beach, nature, sand, swimming, scenic","BarangayMabini,Moalboal,Cebu",Mid-February,
Mactan Island,Islands,Region VII - Central Visayas,8000,4.6,"1,160",10.334322,123.9003004,"Mactan is a resort and industrial island adjacent to Cebu, known for its beaches, dive sites and historical landmarks.","island, beach, nature, swimming, snorkeling","Lapu-LapuCityandCordova,Cebu",Late February,
Mactan Shrine,Historical,Region VII - Central Visayas,8000,4.4,91,10.4546604,123.1717914,Mactan Shrine commemorates the Battle of Mactan and honors local hero Lapu-Lapu.,"shrine, history, heritage, culture, landmark","Lapu-LapuCity,Cebu",Early September,
Magellan's Cross,Historical,Region VII - Central Visayas,8000,4.4,29,10.4546604,123.1717914,Magellan's Cross is a historic landmark marking the arrival of Christianity in the Philippines.,"cross, history, heritage, culture, landmark","CebuCity,Cebu",Mid-June,
Makapiko Nature Park and Restaurant,Parks,Region VII - Central Visayas,8000,4.6,220,10.4041939,123.0211402,"This park combines natural beauty with local cuisine, perfect for family outings.","nature park, gardens, restaurant, recreation, events","BarangayLamac,DanaoCity,Cebu",Late February,
Malbog beach,Beaches,Region VII - Central Visayas,8000,4.4,267,10.2032505,123.2153314,"Malbog Beach is a tranquil stretch of coastline, ideal for unwinding and enjoying the ocean breeze.","beach, nature, sand, swimming, scenic","BarangayMalbog,Argao,Cebu",Early July,
Malubog Lake,Lakes,Region VII - Central Visayas,8000,4.2,"9,761",10.3688727,123.7970345,Malubog Lake is a quiet mountain lake known for calm waters and tranquil natural surroundings.,"lake, nature, boating, fishing, scenic","BarangayMalubog,Argao,Cebu",Mid-April,
Mantayupan Falls,Waterfalls,Region VII - Central Visayas,8000,4.6,890,9.5686298,122.728917,"Mantayupan Falls is one of Cebu tallest waterfalls, surrounded by verdant forest.","waterfall, nature, hiking, swimming, scenic","BarangayMantayupan,Barili,Cebu",Late March,
Mercado Mansion,Historical,Region VII - Central Visayas,8000,4.3,895,10.4546604,123.1717914,"Mercado Mansion is a heritage site, reflecting the elegance of Cebu's colonial past.","mansion, history, heritage, architecture, culture","SilayCity,NegrosOccidental",Early December,
Mount Lantoy,Mountains,Region VII - Central Visayas,8000,5,3,10.0103995,122.8379747,"Mount Lantoy offers lush forests and panoramic vistas, ideal for nature lovers and hikers.","mountain, hiking, nature, adventure, scenic","BarangayLantoy,Argao,Cebu",Late September,
Mount Manunggal,Mountains,Region VII - Central Visayas,8000,4.4,20,10.0103995,122.8379747,"Mount Manunggal is a historic mountain, known as the crash site of President Magsaysay's plane.","mountain, hiking, nature, adventure, viewpoint","BarangayMagsaysay,Balamban,Cebu",Mid-January,
Mount Talinis,Mountains,Region VII - Central Visayas,8000,4.6,61,10.0103995,122.8379747,Mount Talinis is a favorite among trekkers for its challenging trails and scenic crater lakes.,"mountain, hiking, nature, adventure, scenic","Valencia,NegrosOriental",First week of May,
National Museum of the Philippines - Cebu,Museums,Region VII - Central Visayas,8000,4.6,"1,160",10.1381774,123.0002733,The Cebu branch of the National Museum showcases regional history and art.,"museum, history, heritage, culture, exhibits","CebuCity,Cebu",Early December,
National Museum of the Philippines Bohol,Museums,Region VII - Central Visayas,8000,4.6,"1,289",10.4041939,123.0211402,This museum highlights Bohol natural and cultural heritage.,"museum, history, heritage, culture, exhibits","TagbilaranCity,Bohol",Late August,
Nova Shell Museum,Museums,Region VII - Central Visayas,8000,4.6,491,10.1381774,123.0002733,Nova Shell Museum features a vast collection of shells from Philippine waters.,"museum, shells, nature, heritage, exhibits","BarangayBasak,Lapu-LapuCity,Cebu",Early September,
OsmeÃ±a Peak,Mountains,Region VII - Central Visayas,8000,4.7,348,10.0103995,122.8379747,"Osmena Peak is the highest point in Cebu, rewarding hikers with breathtaking views of jagged hills and the sea.","mountain, hiking, nature, adventure, viewpoint","BarangayMantalongon,Dalaguete,Cebu",Early December,
Pacijan Island,Islands,Region VII - Central Visayas,8000,4.4,211,10.0766749,123.4750895,Pacijan Island is a quiet island with sandy shores and good snorkeling opportunities around its rocky reefs.,"island, beach, nature, swimming, snorkeling","PacijanIsland,Poro,Cebu",Late October,
Pandanon Beach,Beaches,Region VII - Central Visayas,8000,4.1,12,10.2032505,123.2153314,"Pandanon Beach is a popular destination for swimming and picnics, with clear waters and scenic views.","beach, nature, sand, swimming, scenic","PandanonIsland,Cordova,Cebu",Mid-October,
Paraiso Cave,Caves,Region VII - Central Visayas,8000,4.3,"3,310",9.6642323,123.4687328,"Paraiso Cave is a cool retreat, featuring underground pools and unique rock features.","cave, nature, adventure, geology, exploration","BarangayTubod,Carmen,Cebu",Late March,
Parola Lighthouse,Historical,Region VII - Central Visayas,8000,4.4,"11,333",10.4546604,123.1717914,"Parola Lighthouse is a coastal beacon, offering sweeping views of the surrounding waters.","lighthouse, history, heritage, architecture, culture","BarangayPoblacion,Bantayan,Cebu",Late March,
Philippine Tarsier Sanctuary,Natural,Region VII - Central Visayas,8000,3.9,393,10.1381774,123.0002733,"The sanctuary protects the endangered tarsier, offering educational tours and wildlife encounters.","sanctuary, wildlife, nature, conservation, tarsier","BarangayCanapnapan,Corella,Bohol",Early June,
Princess Manan-aw Cave.,Caves,Region VII - Central Visayas,8000,4.4,"1,980",9.6642323,123.4687328,"Princess Manan-aw Cave is a mystical site, steeped in local legend.","cave, nature, adventure, geology, exploration","BarangayPoblacion,Anda,Bohol",Mid-June,
Punta Cruz Watchtower,Landmarks,Region VII - Central Visayas,8000,4.5,"5,268",9.8035007,122.7645903,Punta Cruz Watchtower is a historic coastal defense structure with sea views.,"watchtower, history, heritage, architecture, culture","BarangayPuntaCruz,Maribojoc,Bohol",Mid-January,
Rajah Sikatuna National Park,Tourist,Region VII - Central Visayas,8000,4.3,146,10.3870394,123.1114009,"Rajah Sikatuna National Park is a haven for wildlife and birdwatchers, with dense forests and hiking trails.","national park, nature, wildlife, hiking, conservation","BarangayDatag,Bilar,Bohol",Late August,
Samar Island,Islands,Region VII - Central Visayas,8000,4.6,262,10.0766749,123.4750895,"Samar Island is rugged and forested, dotted with waterfalls, caves and coastal landscapes ideal for offâ€‘theâ€‘beat ecotourism.","island, beach, nature, swimming, snorkeling","SamarIsland(NorthernSamar,EasternSamar,Samar),EasternVisayas,Philippines",Early December,
Sikatuna Mirror of The World,Parks,Region VII - Central Visayas,8000,4.1,526,10.4041939,123.0211402,Sikatuna Mirror of The World features miniature landmarks and themed gardens.,"park, gardens, nature, recreation, events","BarangayPoblacion,Sikatuna,Bohol",Late June,
Silliman University Anthropology Museum,Museums,Region VII - Central Visayas,8000,4.5,289,10.1381774,123.0002733,Silliman museum displays artifacts from indigenous cultures across the Philippines.,"museum, anthropology, heritage, culture, exhibits","DumagueteCity,NegrosOriental",Late March,
Sudlon National Park,Parks,Region VII - Central Visayas,8000,4.4,"1,170",10.4546604,123.1717914,"Sudlon National Park is a green haven for hiking, birdwatching, and nature trips.","national park, nature, wildlife, hiking, recreation","BarangaySudlon,CebuCity,Cebu",Mid-May,
Sugbu Chinese Heritage Museum,Museums,Region VII - Central Visayas,8000,4.3,352,10.1381774,123.0002733,This museum explores the contributions of Chinese Filipinos to Cebu's development.,"museum, heritage, culture, exhibits, history","CebuCity,Cebu",Mid-July,
Sumilon Island,Islands,Region VII - Central Visayas,8000,4.3,895,10.334322,123.9003004,"Sumilon Island features a protected marine sanctuary, a shifting sandbar and crystal waters popular for snorkeling and diving.","lake, nature, boating, fishing, scenic","BarangaySandingan,Oslob,Cebu",Early June,
Temple of Leah,Cultural,Region VII - Central Visayas,8000,4.5,14,9.8035007,122.7645903,Temple of Leah is a grand Roman-inspired monument built as a symbol of love and devotion.,"temple, culture, architecture, viewpoint, landmark","BarangayBusay,CebuCity,Cebu",Late September,
Tingko Beach,Beaches,Region VII - Central Visayas,8000,4.1,28,10.2032505,123.2153314,Tingko Beach is a favorite among locals for its powdery sand and shallow waters.,"beach, nature, sand, swimming, scenic","BarangayMarigondon,Cordova,Cebu",Late November,
Villarojo Beach,Beaches,Region VII - Central Visayas,8000,3,4,10.2032505,123.2153314,"Villarojo Beach is a simple coastal retreat, great for solitude and relaxation.","beach, nature, sand, swimming, scenic","BarangayVillarojo,Moalboal,Cebu",Late May,
Yap-San Diego Ancestral House,Historical,Region VII - Central Visayas,8000,3.9,616,10.2032505,123.2153314,This ancestral house preserves Cebu's history through its architecture and antique collections.,"ancestral house, history, heritage, architecture, culture","CebuCity,Cebu",Early April,
Abijao Bituon Beach,Beaches,Region VIII - Eastern Visayas,8000,4.8,4,11.7153625,124.2578439,"Abijao Bituon Beach is a pristine destination, perfect for swimming and sunbathing.","beach, sandbar, swimming, scenic, nature"," Barangay Abijao, Hindang, Leyte",Late November,
Abijao Lane Beach,Beaches,Region VIII - Eastern Visayas,8000,4.6,5,11.7153625,124.2578439,Abijao Lane Beach is a peaceful spot for beachgoers seeking tranquility.,"beach, sand, swimming, relaxation, nature"," Barangay Abijao, Hindang, Leyte",Early April,
Agas-Agas Bridge,Heritage,Region VIII - Eastern Visayas,8000,4.5,123,11.3066665,123.8073163,"Agas-Agas Bridge is an engineering marvel, popular for sightseeing and adventure activities.","bridge, landmark, engineering, viewpoint, scenic"," Barangay San Francisco, Sogod, Southern Leyte",First week of May,
Alegree Beach,Beaches,Region VIII - Eastern Visayas,8000,3.9,12,11.7153625,124.2578439,"Alegree Beach is a simple, unspoiled beach ideal for quiet reflection.","beach, local, swimming, nature, scenic"," Barangay Alegree, Inopacan, Leyte",Mid-January,
Alto Peak,Mountains,Region VIII - Eastern Visayas,8000,4.5,13,10.9748404,124.1531055,"Alto Peak is a renowned hiking destination, known for its cool climate and stunning vistas.","peak, mountain, hiking, viewpoint, nature"," Barangay San Isidro, Burauen, Leyte",Late September,
Apiton Island,Islands,Region VIII - Eastern Visayas,8000,5,3,11.4215973,123.471326,"Apiton Island is a hidden gem, perfect for those seeking solitude and natural beauty.","island, remote, beach, snorkeling, nature"," Apiton Island, Barangay San Isidro, Inopacan, Leyte",Early June,
Bagahupi Peak,Mountains,Region VIII - Eastern Visayas,8000,5,1,10.9748404,124.1531055,"Bagahupi Peak is a top choice for trekkers, offering breathtaking views and a sense of accomplishment.","peak, hiking, viewpoint, nature, scenic"," Barangay Bagahupi, Ormoc City, Leyte",Mid-June,
Balangiga Bells,Historical,Region VIII - Eastern Visayas,8000,4.5,"3,230",11.4215973,123.4439539,"The Balangiga Bells are a symbol of resilience and history, returned to the Philippines after more than a century.","historical, monument, heritage, culture, landmark"," Balangiga Church, Balangiga, Eastern Samar",Early December,
Bel-at Rock Formation,Cultural,Region VIII - Eastern Visayas,8000,4.6,46,11.0138579,124.3286502,"Bel-at Rock Formation is a striking geological feature, popular for sightseeing and photography.","rock formation, geology, scenic, cultural, viewpoint"," Barangay Bel-at, San Isidro, Northern Samar",Early November,
Biri Island,Islands,Region VIII - Eastern Visayas,8000,4.6,259,11.4215973,123.471326,Biri Island is famous for its dramatic rock formations and scenic coastal views.,"island, rock formations, surfing, scenic, nature"," Biri Island, Biri, Northern Samar",Late October,
Bito Lake,Lakes,Region VIII - Eastern Visayas,8000,4.8,100,11.3066665,123.8073163,"Bito Lake is a tranquil destination for boating, fishing, and birdwatching.","lake, nature, fishing, scenic, birdwatching"," Barangay Bito, San Isidro, Northern Samar",Late October,
Bruno Beach,Beaches,Region VIII - Eastern Visayas,8000,4.6,81,11.7153625,124.2578439,"Bruno Beach features soft sands and gentle waves, making it a favorite among locals.","beach, sand, swimming, scenic, relaxation"," Barangay Bruno, Inopacan, Leyte",Mid-October,
Buri Island,Islands,Region VIII - Eastern Visayas,8000,4.2,449,11.3066665,123.8073163,Buri Island is a peaceful spot for beach lovers and nature enthusiasts.,"island, secluded, beach, nature, relaxation"," Buri Island, Barangay San Isidro, Inopacan, Leyte",Mid-July,
Busay Falls,Tourist,Region VIII - Eastern Visayas,8000,4.3,39,11.1984053,124.4085064,"Busay Falls is a popular spot for picnics and swimming, with cascading waters and a serene atmosphere.","waterfall, nature, hiking, scenic, swimming"," Barangay Busay, Cebu City, Cebu",Mid-April,
Cabalian Lake,Lakes,Region VIII - Eastern Visayas,8000,4.5,2,11.3066665,123.8073163,Cabalian Lake offers calm waters and picturesque views.,"lake, nature, boating, scenic, relaxation"," Barangay Cabalian, San Juan, Southern Leyte",Late August,
Cambaro Caves,Caves,Region VIII - Eastern Visayas,8000,4.4,41,11.0138579,124.3286502,Cambaro Caves offer a network of passages for cave enthusiasts.,"caves, spelunking, geology, nature, adventure"," Barangay Cambaro, Sogod, Southern Leyte",First week of May,
Canhugas Nature Park,Parks,Region VIII - Eastern Visayas,8000,4.6,281,11.4680894,123.7478489,Canhugas Nature Park offers rugged coastal scenery and eco-adventures.,"nature park, trails, wildlife, picnic, recreation"," Barangay Canhugas, Maasin City, Southern Leyte",Mid-November,
Canjaway Nature Park,Parks,Region VIII - Eastern Visayas,8000,4.5,14,11.4680894,123.7478489,Canjaway Nature Park is a peaceful retreat with nature trails and picnic areas.,"nature park, trails, wildlife, picnic, scenic"," Barangay Canjaway, Ormoc City, Leyte",Late August,
Capul Island Lighthouse,Landmarks,Region VIII - Eastern Visayas,8000,4.6,156,11.0138579,124.3286502,"Capul Island Lighthouse is a historic beacon, guiding ships and offering panoramic island views.","lighthouse, maritime, landmark, historic, viewpoint"," Capul Island, Capul, Northern Samar",Late September,
Gabaldon Ruins,Historical,Region VIII - Eastern Visayas,8000,4.3,73,11.4215973,123.4439539,"Gabaldon Ruins are remnants of historic school buildings, reflecting the region's educational legacy.","ruins, historical, heritage, archaeology, culture"," Barangay Gabaldon, Tacloban City, Leyte",Mid-May,
Ginduyanan Cove,Natural,Region VIII - Eastern Visayas,8000,4.8,28,11.7628779,120.7109285,"Ginduyanan Cove is a scenic natural spot, perfect for swimming and relaxation.","cove, beach, snorkeling, scenic, nature"," Barangay Ginduyanan, San Isidro, Northern Samar",Late February,
Grand Canyon,Historical,Region VIII - Eastern Visayas,8000,4.4,12,11.4215973,123.4439539,"The Grand Canyon in Eastern Visayas is a dramatic natural formation, popular for sightseeing and photography.","canyon, viewpoint, hiking, nature, scenic"," Barangay Lahug, Cebu City, Cebu (local rock formation near Cebu City)",Late February,
Guinogo-an Cave,Caves,Region VIII - Eastern Visayas,8000,4.7,171,11.0138579,124.3286502,Guinogo-an Cave is a spelunking destination with fascinating rock formations.,"cave, spelunking, adventure, nature, exploration"," Barangay Guinogo-an, Inopacan, Leyte",Late March,
Gunhuban Falls,Tourist,Region VIII - Eastern Visayas,8000,4.2,50,11.1984053,124.4085064,"Gunhuban Falls is a scenic waterfall surrounded by lush greenery, offering a peaceful retreat for nature lovers.","waterfall, nature, hiking, swimming, scenic"," Barangay Gunhuban, Ormoc City, Leyte",Mid-July,
Hindang Cave and Wild Monkeys,Caves,Region VIII - Eastern Visayas,8000,4.2,316,11.4215973,123.471326,Hindang Cave is home to wild monkeys and intriguing cave chambers.,"cave, wildlife, monkeys, nature, adventure"," Barangay Hindang, Hindang, Leyte",Late August,
Historic Spanish Jail,Landmarks,Region VIII - Eastern Visayas,8000,4.6,259,11.7628779,120.7109285,"The Historic Spanish Jail is a preserved colonial-era structure, offering a glimpse into the region's past.","historical, jail, heritage, museum, landmark"," Barangay San Isidro, Tacloban City, Leyte",Mid-January,
Hitoog Cave,Caves,Region VIII - Eastern Visayas,8000,4.6,53,11.0138579,124.3286502,"Hitoog Cave is a mysterious spot, perfect for adventurous explorers.","cave, spelunking, adventure, nature, exploration"," Barangay Hitoog, San Isidro, Northern Samar",Early September,
Kalabato Hot Springs and Eco-Park,Tourist,Region VIII - Eastern Visayas,8000,4.4,41,11.1984053,124.4085064,Kalabato Hot Springs and Eco-Park provides soothing thermal waters and eco-friendly amenities for visitors.,"hot spring, eco-park, wellness, relaxation, nature"," Barangay Kalabato, Ormoc City, Leyte",Late October,
Lagbangan Lake,Lakes,Region VIII - Eastern Visayas,8000,4.4,12,11.3066665,123.8073163,"Lagbangan Lake is a peaceful retreat, surrounded by greenery and wildlife.","lake, nature, fishing, scenic, recreation"," Barangay Lagbangan, Ormoc City, Leyte",Early December,
Lake Danao Natural Park,Parks,Region VIII - Eastern Visayas,8000,5,3,11.4215973,123.4439539,"Lake Danao Natural Park is a serene destination for boating, birdwatching, and nature walks.","lake, protected, hiking, wildlife, nature"," Barangay Danao, Ormoc City, Leyte",Early July,
Lake Janagdan,Lakes,Region VIII - Eastern Visayas,8000,4.7,11,11.3066665,123.8073163,"Lake Janagdan is a serene spot, perfect for quiet reflection and relaxation.","lake, nature, scenic, recreation, fishing"," Barangay Janagdan, Ormoc City, Leyte",Mid-April,
Langun-Gobingob Caves,Caves,Region VIII - Eastern Visayas,8000,3.6,7,11.0138579,124.3286502,"Langun-Gobingob Caves are among the largest cave systems in the country, ideal for serious spelunkers.","cave system, spelunking, large, adventure, geology"," Barangay Calbiga, Calbiga, Samar",Mid-April,
Libucan Daco Island,Islands,Region VIII - Eastern Visayas,8000,4.7,61,11.4215973,123.471326,"Libucan Daco Island is a quiet escape, ideal for relaxation and water sports.","island, beach, snorkeling, nature, secluded"," Libucan Daco Island, Barangay Libucan, Allen, Northern Samar",Early March,
Lighthouse Boronggan,Heritage,Region VIII - Eastern Visayas,8000,4.6,97,11.3176557,123.7165147,"Lighthouse Boronggan is a coastal landmark, offering panoramic views and historical significance.","lighthouse, maritime, heritage, viewpoint, landmark"," Borongan City, Eastern Samar",Mid-January,
Limasawa Quincentennial Historical Marker,Cultural,Region VIII - Eastern Visayas,8000,4.6,281,11.0138579,124.3286502,"This marker commemorates the first Catholic Mass in the Philippines, held on Limasawa Island.","historical marker, heritage, history, landmark"," Limasawa Island, Southern Leyte",Mid-June,
Linao Cave and Lagoon,Tourist,Region VIII - Eastern Visayas,8000,4.6,97,11.1984053,124.4085064,"Linao Cave and Lagoon features crystal-clear waters inside a fascinating cave, ideal for swimming and exploration.","cave, lagoon, nature, adventure, exploration"," Barangay Linao, Mahaplag, Leyte",Early June,
Lintaon Peak,Tourist,Region VIII - Eastern Visayas,8000,4.3,310,11.1984053,124.4085064,"Lintaon Peak offers panoramic views of the surrounding landscape, making it a favorite for hikers and photographers.","peak, hiking, viewpoint, nature, adventure"," Barangay Lintaon, Burauen, Leyte",Late August,
Lover's Cave,Beaches,Region VIII - Eastern Visayas,8000,4.7,82,11.3229955,123.5142921,"Lover's Cave is a romantic beachside spot, perfect for couples seeking privacy and scenic views.","cave, coastal, snorkeling, scenic, nature"," Barangay San Isidro, Tacloban City, Leyte",Late May,
Lulugayan Falls & Eco Village,Waterfalls,Region VIII - Eastern Visayas,8000,4.5,123,11.3229955,123.5142921,Lulugayan Falls & Eco Village combines natural wonders with sustainable tourism experiences.,"waterfall, eco-village, cultural, nature, scenic"," Barangay Lulugayan, Ormoc City, Leyte",Late April,
M/V Eva Jocelyn Shrine,Historical,Region VIII - Eastern Visayas,8000,4.2,449,11.4215973,123.4439539,The M/V Eva Jocelyn Shrine honors the memory of Typhoon Yolanda survivors and victims.,"memorial, historical, tragedy, cultural, landmark"," Barangay San Roque, Tacloban City, Leyte",Late March,
